eid,ename,edept,ecity,ecost
101,Arun,prod,hyderabad,20220
102,Sam,sales,pune,22000
103,Kayal,sales,bglr,12000
106,Atharv,prod,pune,23000
104,Raghav,sales,kolkatta,44000
105,Saravana,sales,bglr,15400
106,Aadithya,hr,mumbai,54500
107,Sam,crm,pune,61200
108,Yugav,prod,chennai,52000
109,Vinod,crm,hyderabad,10300
110,Yashini,hr,delhi,45760
111,Aayan,crm,bglr,10500
112,Atharv,sales,kolkatta,40070
113,DeshPandey,hr,pune,72500
114,Arvind,prod,delhi,10259
115,Priya,hr,mumbai,45602
116,Supriya,sales,chennai,50000
117,Sonam,prod,bglr,33000
118,Swaroop,hr,kolkatta,61000
119,Gunav,prod,pune,40505
120,Raj,sales,bglr,90400
